sample_id,method,stripe_type,fdi,brisque,niqe,maniqa
mmvto_posed9_vertical,M&M VTO,multicolour vertical stripe,8.5,60.833191,7.265571,0.410276
gp_worldcup_02,GP-VTON,broad vertical sports stripe,18.88,55.408386,5.709564,0.457783
gp_worldcup_03,GP-VTON,broad vertical sports stripe,21.26,36.83905,4.297008,0.450472
gp_worldcup_04,GP-VTON,broad vertical sports stripe,29.01,23.614441,4.916711,0.485616
gp_worldcup_05,GP-VTON,broad vertical sports stripe,18.82,48.104675,5.888166,0.496545
mmvto_posed11_orange,M&M VTO,broad horizontal stripe,35.12,36.487488,6.942294,0.416514
dci_row3_02,PF-AFN,multicolour horizontal stripe,25.62,36.798035,13.511856,0.304493
mmvto_layflat7_blue_diag,M&M VTO,diagonal broad stripe,20.58,44.349792,5.98222,0.345041
gp_vton_orange_horizontal,GP-VTON,medium horizontal stripe,35.22,31.62616,18.126776,0.423907
dci_row3_05,PaintByExample,multicolour horizontal stripe,27.62,28.256042,14.030054,0.363496
mmvto_women1_graystripe,M&M VTO,medium horizontal sweater stripe,18.2,53.559753,7.627685,0.396389
mmvto_women2_navstripe,M&M VTO,bold horizontal sweater stripe,10.93,59.975769,6.543642,0.40007
lph_vton_ours_graystripe,LPH-VTON,fine horizontal stripe,24.21,50.388367,8.494371,0.641085
ladi_vton_fine_horizontal,LaDI-VTON,fine horizontal stripe,15.1,73.447449,6.810265,0.494057
dci_row4_04,HR-VITON,multicolour vertical stripe,30.69,38.65741,14.232886,0.24752
dci_row4_05,PaintByExample,multicolour vertical stripe,31.06,29.00116,16.459763,0.346795
dci_row4_06,DCI-VTON,multicolour vertical stripe,17.1,31.908386,24.372212,0.304463
idm_row1_01,GP-VTON,fine horizontal stripe,14.43,61.390808,5.119601,0.522709
gp_vton_fine_stripe_tank,GP-VTON,fine horizontal stripe,20.17,56.46991,12.025124,0.340559
idm_row1_03,DCI-VTON,fine horizontal stripe,10.42,58.172058,7.033229,0.343687
idm_row1_04,StableVITON,fine horizontal stripe,10.13,55.634949,6.76207,0.466833
idm_vton_crossing_stripe,IDM-VTON,crossing stripe,21.99,5.343933,4.32989,0.520689
gardiff_horizontal_top,GarDiff,medium horizontal stripe,28.53,47.872253,10.919956,0.434845
vton360_rugby_stripe,VTON360,broad horizontal sports stripe,21.31,56.758972,7.523186,0.255922
stableviton_public_01,StableVITON,bold horizontal stripe,20.94,31.928894,5.016172,0.317942
stableviton_public_02,StableVITON,bold horizontal stripe,20.73,62.171082,4.968245,0.260959
ccvton_vertical_stripe_dress,CCVTON,vertical dress stripe,20.95,39.09491,6.520617,0.403536
stableviton_public_04,StableVITON,bold horizontal stripe,27.77,22.735535,4.108185,0.331916
stableviton_public_05,StableVITON,bold horizontal stripe,26.89,34.640808,4.423279,0.245611
dci_teaser_ours,DCI-VTON,fine horizontal stripe,9.21,60.950378,6.808879,0.335963
