alpha,beta,spearman_rho,pearson_r,kendall_tau
0.05,0.95,0.6983527826350373,0.6692464547393301,0.5549225655250916
0.1,0.9,0.7161622256094724,0.6854269705228994,0.5872930485140552
0.15,0.85,0.7248443290595096,0.6978588964348628,0.6057904673648916
0.2,0.8,0.7261800372825922,0.7074379841685552,0.6104148220776007
0.25,0.75,0.721505058501803,0.7148415761238737,0.624287886215728
0.3,0.7,0.7203919683159008,0.7205793977265234,0.6150391767903098
0.35,0.65,0.723508620836427,0.7250350255063794,0.6196635315030189
0.4,0.6,0.7297419258774792,0.728497957079616,0.624287886215728
0.45,0.55,0.7301871619518401,0.7311877238493664,0.6289122409284371
0.5,0.5,0.7264026553197727,0.7332717653148825,0.6150391767903098
0.55,0.44999999999999996,0.7346395226954489,0.7348785992198901,0.6196635315030189
0.6,0.4,0.7399823555877795,0.7361075152584572,0.624287886215728
0.65,0.35,0.7399823555877795,0.7370357245398225,0.624287886215728
0.7,0.30000000000000004,0.758014416599395,0.7377236536085295,0.6381609503538552
0.75,0.25,0.758014416599395,0.7382188849126797,0.6335365956411462
0.8,0.19999999999999996,0.759572742859658,0.7385591071365463,0.6381609503538552
0.85,0.15000000000000002,0.7569013264134928,0.738774338127055,0.6381609503538552
0.9,0.09999999999999998,0.7528942017442449,0.7388886106147335,0.6335365956411462
0.95,0.050000000000000044,0.7528942017442449,0.738921258875442,0.6335365956411462
